wave,session,task,run,subj,name,trialtype,iti,cue,probe,target.color,location,cue.cresp,cresp,cue.rt,cue.acc,cue.resp,rt,acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
1,bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,664,1,1,589,0,1,0,155069,159868,160457,155733,124462,1,30.607,31.271,35.406,35.995,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,2800,D,N,white,center,1,1,712,1,1,439,0,2,0,164684,169483,169922,165396,124462,2,40.222,40.934,45.021,45.46,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,Ang,1600,A,3,white,center,1,,385,1,1,0,1,,1,173082,177882,0,173467,124462,3,48.62,49.005,53.42,-124.462,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,541,1,1,401,1,2,1,180281,185081,185482,180822,124462,4,55.819,56.36,60.619,61.02,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,1600,H,T,white,center,1,1,439,1,1,0,0,,0,189880,194679,0,190319,124462,5,65.418,65.857,70.217,-124.462,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AY,2800,A,N,white,center,1,1,708,1,1,1480,1,1,1,197079,201878,203358,197787,124462,6,72.617,73.325,77.416,78.896,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,2800,F,C,white,center,1,1,525,1,1,447,1,1,1,205477,210276,210723,206002,124462,7,81.015,81.54,85.814,86.261,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,354,1,1,339,1,2,1,213876,218675,219014,214230,124462,8,89.414,89.768,94.213,94.552,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,410,1,1,301,1,2,1,223474,228274,228575,223884,124462,9,99.012,99.422,103.812,104.113,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,390,1,1,306,1,2,1,233073,237872,238178,233463,124462,10,108.611,109.001,113.41,113.716,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,348,1,1,387,1,2,1,240272,245071,245458,240620,124462,11,115.81,116.158,120.609,120.996,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,319,1,1,327,1,2,1,248670,253470,253797,248989,124462,12,124.208,124.527,129.008,129.335,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,4000,U,P,white,center,1,1,407,1,1,381,1,1,1,255869,260668,261049,256276,124462,13,131.407,131.814,136.206,136.587,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,AY,4000,A,H,white,center,1,1,320,1,1,750,1,1,1,265468,270284,271034,265788,124462,14,141.006,141.326,145.822,146.572,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BX,2800,U,X,white,center,1,1,329,1,1,1415,0,2,0,275083,279882,281297,275412,124462,15,150.621,150.95,155.42,156.835,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,Ang,2800,A,5,white,center,1,,430,1,1,0,1,,1,283481,288281,0,283911,124462,16,159.019,159.449,163.819,-124.462,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,4000,D,T,white,center,1,1,859,1,1,690,1,1,1,291880,296679,297369,292739,124462,17,167.418,168.277,172.217,172.907,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,1600,M,P,white,center,1,1,450,1,1,405,1,1,1,301479,306278,306683,301929,124462,18,177.017,177.467,181.816,182.221,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,F,5,white,center,1,,471,1,1,0,1,,1,308677,313477,0,309148,124462,19,184.215,184.686,189.015,-124.462,28.424,260.02,491.616,231.624,463.221,694.817
1,bas,axc,1,130518,bas_axc_run1_130518,BY,1600,T,M,white,center,1,1,340,1,1,449,1,1,1,315876,320675,321124,316216,124462,20,191.414,191.754,196.213,196.662,28.424,260.02,491.616,231.624,463.221,694.817
