wave,session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype,trialtype_alt
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,5,3,syrup,2800,1,915,1,1,158667,167466,168381,127840,1,30.827,39.626,40.541,28.427,256.425,484.424,228.027,456.026,684.025,LL5NP,NP_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,8,2,scale,4000,1,874,2,2,171866,180665,181539,127840,2,44.026,52.825,53.699,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_8
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,8,2,doll,4000,1,836,2,2,186265,195064,195900,127840,3,58.425,67.224,68.06,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_8
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,5,3,threat,1600,1,1275,1,1,200664,209463,210738,127840,4,72.824,81.623,82.898,28.427,256.425,484.424,228.027,456.026,684.025,LL5NP,NP_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,6,1,parrot,2800,1,749,2,2,212663,221463,222212,127840,5,84.823,93.623,94.372,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_6
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,8,2,chance,1600,0,1063,2,1,225862,234662,235725,127840,6,98.022,106.822,107.885,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_8
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,5,2,blur,4000,1,901,2,2,237861,246661,247562,127840,7,110.021,118.821,119.722,28.427,256.425,484.424,228.027,456.026,684.025,LL5NN,NN_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,7,2,rash,4000,1,1408,1,1,252261,261060,262468,127840,8,124.421,133.22,134.628,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_7
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,5,2,tube,1600,1,751,2,2,266660,275459,276210,127840,9,138.82,147.619,148.37,28.427,256.425,484.424,228.027,456.026,684.025,LL5NN,NN_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,5,3,share,2800,1,1493,1,1,278659,287458,288951,127840,10,150.819,159.618,161.111,28.427,256.425,484.424,228.027,456.026,684.025,LL5NP,NP_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,7,2,wealth,4000,0,778,2,1,291858,300657,301435,127840,11,164.018,172.817,173.595,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_7
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,8,2,bush,2800,1,1061,1,1,306257,315057,316118,127840,12,178.417,187.217,188.278,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_8
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,7,1,straw,1600,1,1016,2,2,319456,328256,329272,127840,13,191.616,200.416,201.432,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_7
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,6,1,frost,1600,0,1387,2,1,331455,340255,341642,127840,14,203.615,212.415,213.802,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_6
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,RN,5,1,quart,2800,1,980,2,2,343455,352254,353234,127840,15,215.615,224.414,225.394,28.427,256.425,484.424,228.027,456.026,684.025,LL5RN,RN_5
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,6,1,taxi,2800,1,1275,2,2,386665,395465,396740,127840,16,258.825,267.625,268.9,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_6
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NN,8,2,liar,1600,1,1007,2,2,399864,408664,409671,127840,17,272.024,280.824,281.831,28.427,256.425,484.424,228.027,456.026,684.025,not5NN,NN_8
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,7,2,need,1600,1,1194,1,1,411864,420663,421857,127840,18,284.024,292.823,294.017,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_7
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,7,2,bean,4000,1,1394,1,1,423863,432662,434056,127840,19,296.023,304.822,306.216,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_7
1,bas,ste,1,DMCC8760894,bas_ste_run1_DMCC8760894,NP,8,3,bees,4000,1,1030,1,1,438262,447061,448091,127840,20,310.422,319.221,320.251,28.427,256.425,484.424,228.027,456.026,684.025,not5NP,NP_8
