task,subj,wave,session,trialtype,cresp,resp,acc,rt,trialnum,hilo,hilo_all
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,529,1,lo,lo
Axcpt,DMCC8760894,wave1,baseline,Bng,,,1,0,2,,
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,389,3,,lo
Axcpt,DMCC8760894,wave1,baseline,BX,1,1,1,442,4,hi,hi
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,371,5,,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,397,6,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,454,7,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,394,8,,lo
Axcpt,DMCC8760894,wave1,baseline,AY,1,1,1,565,9,,hi
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,470,10,lo,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,426,11,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,332,12,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,450,13,lo,lo
Axcpt,DMCC8760894,wave1,baseline,Bng,,,1,0,14,,
Axcpt,DMCC8760894,wave1,baseline,AY,1,1,1,463,15,,hi
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,423,16,,lo
Axcpt,DMCC8760894,wave1,baseline,Ang,,,1,0,17,,
Axcpt,DMCC8760894,wave1,baseline,Ang,,,1,0,18,,
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,393,19,lo,lo
Axcpt,DMCC8760894,wave1,baseline,BX,1,1,1,1156,20,hi,hi
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,527,21,lo,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,550,22,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,434,23,,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,449,24,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,432,25,lo,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,490,26,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,421,27,,lo
Axcpt,DMCC8760894,wave1,baseline,Bng,,,1,0,28,,
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,405,29,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,636,30,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,1,0,41,31,,lo
Axcpt,DMCC8760894,wave1,baseline,BX,1,1,1,628,32,hi,hi
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,429,33,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,395,34,,lo
Axcpt,DMCC8760894,wave1,baseline,Ang,,,1,0,35,,
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,560,36,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,479,37,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,498,38,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,1093,39,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,2,1,450,40,,lo
Axcpt,DMCC8760894,wave1,baseline,BY,1,,0,0,41,lo,lo
Axcpt,DMCC8760894,wave1,baseline,Ang,,,1,0,42,,
Axcpt,DMCC8760894,wave1,baseline,BY,1,1,1,610,43,lo,lo
Axcpt,DMCC8760894,wave1,baseline,AX,2,1,0,844,44,,lo
Axcpt,DMCC8760894,wave1,baseline,Bng,,,1,0,45,,
Axcpt,DMCC8760894,wave1,baseline,AY,1,1,1,501,46,,hi
Axcpt,DMCC8760894,wave1,baseline,AY,1,1,1,671,47,,hi
Axcpt,DMCC8760894,wave1,baseline,BX,1,,0,0,48,hi,hi
Axcpt,DMCC8760894,wave1,baseline,BX,1,1,1,675,49,hi,hi
Axcpt,DMCC8760894,wave1,baseline,Bng,,,1,0,50,,
