wave,session,task,run,subj,name,word,trial.type,pc,color,iti,time.target.onset.abs,time.scan.start,trial.num,listener1,listener2,cresp,response.final,acc.final,rt,item,time.target.onset,time.rt.abs,time.rt,acc,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype,resp
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,RED,Con,bias,red,2400,87425,56713,1,red,red,red,red,1,708.5,redRED,30.712,88133.5,739.212,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,GREEN,InCon,PC50,yellow,1200,92225,56713,2,yellow,yellow,yellow,yellow,1,768.5,yellowGREEN,35.512,92993.5,804.012,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,yellow
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,Con,bias,purple,3600,95825,56713,3,purple,purple,purple,purple,1,623.5,purplePURPLE,39.112,96448.5,662.612,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,Con,bias,blue,2400,101824,56713,4,blue,blue,blue,blue,1,637,blueBLUE,45.111,102461,682.111,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,InCon,bias,white,1200,106624,56713,5,white,black,white,white,1,621.5,whitePURPLE,49.911,107245.5,671.411,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,WHITE,Con,bias,white,3600,110224,56713,6,white,white,white,white,1,651.5,whiteWHITE,53.511,110875.5,705.011,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,Con,bias,blue,2400,116223,56713,7,blue,blue,blue,blue,1,646.5,blueBLUE,59.51,116869.5,706.01,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,YELLOW,Con,PC50,yellow,3600,121023,56713,8,yellow,yellow,yellow,yellow,1,707.5,yellowYELLOW,64.31,121730.5,771.81,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,yellow
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,Con,bias,purple,2400,127036,56713,9,purple,purple,purple,purple,1,626.5,purplePURPLE,70.323,127662.5,696.823,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,InCon,bias,red,3600,131835,56713,10,red,red,red,red,1,740.5,redBLUE,75.122,132575.5,815.622,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,Con,bias,purple,1200,137835,56713,11,purple,purple,purple,purple,1,622.5,purplePURPLE,81.122,138457.5,703.622,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLACK,InCon,PC50,green,1200,141435,56713,12,green,green,green,green,1,812.5,greenBLACK,84.722,142247.5,897.222,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,green
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,InCon,bias,purple,1200,145034,56713,13,purple,purple,purple,purple,1,768,purpleBLUE,88.321,145802,856.321,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,RED,Con,bias,red,1200,148634,56713,14,red,red,red,red,1,823,redRED,91.921,149457,914.921,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,Con,bias,blue,3600,152234,56713,15,blue,blue,blue,blue,1,758,blueBLUE,95.521,152992,853.521,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,InCon,bias,red,3600,158233,56713,16,red,red,red,red,1,818,redPURPLE,101.52,159051,919.52,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,RED,Con,bias,red,2400,164233,56713,17,red,red,red,red,1,615.5,redRED,107.52,164848.5,723.02,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,Con,bias,blue,2400,169033,56713,18,blue,blue,blue,blue,1,704.5,blueBLUE,112.32,169737.5,816.82,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,YELLOW,InCon,PC50,pink,2400,173832,56713,19,pink,pink,pink,pink,1,701.5,pinkYELLOW,117.119,174533.5,818.619,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,pink
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PINK,InCon,PC50,black,3600,178632,56713,20,black,black,black,black,1,1103,blackPINK,121.919,179735,1224.919,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,black
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,WHITE,Con,bias,white,3600,184631,56713,21,white,white,white,white,1,746,whiteWHITE,127.918,185377,873.918,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,GREEN,InCon,PC50,pink,1200,190631,56713,22,pink,pink,pink,pink,1,983.5,pinkGREEN,133.918,191614.5,1117.418,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,pink
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,RED,InCon,bias,white,2400,194231,56713,23,white,white,white,white,1,769,whiteRED,137.518,195000,906.518,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,Con,bias,purple,1200,199030,56713,24,purple,purple,purple,purple,1,653.5,purplePURPLE,142.317,199683.5,795.817,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,YELLOW,InCon,PC50,black,2400,202630,56713,25,black,black,black,black,1,946,blackYELLOW,145.917,203576,1091.917,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,black
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLUE,Con,bias,blue,1200,207430,56713,26,blue,blue,blue,blue,1,782.5,blueBLUE,150.717,208212.5,933.217,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,WHITE,Con,bias,white,2400,211030,56713,27,white,white,white,white,1,706,whiteWHITE,154.317,211736,860.317,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,WHITE,InCon,bias,blue,3600,215829,56713,28,blue,blue,blue,blue,1,863,blueWHITE,159.116,216692,1022.116,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,blue
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,WHITE,Con,bias,white,2400,221829,56713,29,white,white,white,white,1,672,whiteWHITE,165.116,222501,837.116,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,GREEN,Con,PC50,green,1200,226628,56713,30,green,green,green,green,1,704,greenGREEN,169.915,227332,873.915,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,green
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PINK,Con,PC50,pink,3600,230228,56713,31,pink,pink,pink,pink,1,703.5,pinkPINK,173.515,230931.5,877.015,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,pink
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,BLACK,Con,PC50,black,3600,236228,56713,32,black,black,black,black,1,631,blackBLACK,179.515,236859,810.515,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,black
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,GREEN,Con,PC50,green,3600,242227,56713,33,green,green,green,green,1,636,greenGREEN,185.514,242863,821.514,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,green
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,YELLOW,Con,PC50,yellow,1200,248227,56713,34,yellow,yellow,yellow,yellow,1,630.5,yellowYELLOW,191.514,248857.5,822.014,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50Con,yellow
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,Con,bias,purple,1200,251827,56713,35,purple,purple,purple,purple,1,807.5,purplePURPLE,195.114,252634.5,1002.614,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,purple
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,RED,Con,bias,red,2400,255426,56713,36,red,red,red,red,1,614.5,redRED,198.713,256040.5,813.213,1,28.419,231.218,434.016,202.833,405.631,608.43,biasCon,red
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PURPLE,InCon,bias,white,3600,290224,56713,37,white,white,white,white,1,680.5,whitePURPLE,233.511,290904.5,914.011,1,28.419,231.218,434.016,202.833,405.631,608.43,biasInCon,white
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,GREEN,InCon,PC50,pink,1200,296223,56713,38,pink,pink,pink,pink,1,601.5,pinkGREEN,239.51,296824.5,841.01,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,pink
2,bas,stp,1,DMCC8033964,bas_stp_run1_DMCC8033964,PINK,InCon,PC50,black,2400,299823,56713,39,black,black,black,black,1,784.5,blackPINK,243.11,300607.5,1027.61,1,28.419,231.218,434.016,202.833,405.631,608.43,PC50InCon,black
