"session","task","run","subj","name","trial.type","load","numtrials","probe","iti","acc","rt","resp","cresp","time.cue.onset.abs","time.target.onset.abs","time.rt.abs","time.scan.start","trial.num","time.cue.onset","time.target.onset","time.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","ste",1,"115825","bas_ste_run1_115825","NP",5,3,"syrup",4000,1,1185,2,2,140321,149120,150305,109500,1,30.821,39.62,40.805,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NN",8,2,"scale",4000,1,816,1,1,154720,163519,164335,109500,2,45.22,54.019,54.835,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NN",8,2,"doll",1600,1,925,1,1,169119,177918,178843,109500,3,59.619,68.418,69.343,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",5,3,"threat",1600,0,0,NA,2,181118,189917,0,109500,4,71.618,80.417,-109.5,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NN",6,1,"parrot",2800,1,1323,1,1,193117,201916,203239,109500,5,83.617,92.416,93.739,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",8,2,"chance",4000,1,761,2,2,206316,215115,215876,109500,6,96.816,105.615,106.376,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NN",5,2,"blur",4000,1,842,1,1,220715,229514,230356,109500,7,111.215,120.014,120.856,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",7,2,"rash",2800,1,1072,2,2,235114,243913,244985,109500,8,125.614,134.413,135.485,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NN",5,2,"tube",1600,1,1090,1,1,248313,257112,258202,109500,9,138.813,147.612,148.702,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",5,3,"share",2800,0,0,NA,2,260312,269111,0,109500,10,150.812,159.611,-109.5,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",7,2,"wealth",2800,1,1024,2,2,273511,282310,283334,109500,11,164.011,172.81,173.834,28.421,256.421,484.42,228.023,456.022,684.022
"bas","ste",1,"115825","bas_ste_run1_115825","NP",8,2,"bush",1600,1,1137,2,2,286710,295509,296646,109500,12,177.21,186.009,187.146,28.421,256.421,484.42,228.023,456.022,684.022
