"session","task","run","subj","name","trial.type","iti","cue","probe","target.color","location","cue.cresp","target.cresp","cue.rt","cue.acc","cue.resp","target.rt","target.acc","target.resp","trialacc","time.cue.onset.abs","time.target.onset.abs","time.target.rt.abs","time.cue.rt.abs","time.scan.start","trial.num","acc","time.cue.onset","time.cue.rt","time.target.onset","time.target.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","axc",1,"197449","bas_axc_run1_197449","AX",4000,"A","X","white","center",1,2,343,1,1,411,1,2,1,146045,150859,151270,146388,115412,1,1,30.633,30.976,35.447,35.858,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","Ang",2800,"A","1","white","center",1,NA,494,1,1,0,1,NA,1,155659,160459,0,156153,115412,2,1,40.247,40.741,45.047,-115.412,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","BY",4000,"T","M","white","center",1,1,623,1,1,1401,0,2,0,164059,168859,170260,164682,115412,3,0,48.647,49.27,53.447,54.848,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","AX",4000,"A","X","white","center",1,2,328,1,1,672,1,2,1,173659,178445,179117,173987,115412,4,1,58.247,58.575,63.033,63.705,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","BX",1600,"P","X","white","center",1,1,505,1,1,934,1,1,1,183245,188045,188979,183750,115412,5,1,67.833,68.338,72.633,73.567,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","BY",1600,"U","P","white","center",1,1,919,1,1,983,1,1,1,190459,195259,196242,191378,115412,6,1,75.047,75.966,79.847,80.83,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","BY",2800,"H","T","white","center",1,1,0,0,NA,0,0,NA,0,197659,202459,0,0,115412,7,0,82.247,-115.412,87.047,-115.412,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","AY",1600,"A","T","white","center",1,1,604,1,1,707,1,1,1,206059,210859,211566,206663,115412,8,1,90.647,91.251,95.447,96.154,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","Bng",2800,"C","8","white","center",1,NA,0,0,NA,0,1,NA,0,213259,218045,0,0,115412,9,0,97.847,-115.412,102.633,-115.412,28.433,260.047,491.647,231.633,463.247,694.847
"bas","axc",1,"197449","bas_axc_run1_197449","Ang",4000,"A","7","white","center",1,NA,0,0,NA,0,1,NA,0,221645,226445,0,0,115412,10,0,106.233,-115.412,111.033,-115.412,28.433,260.047,491.647,231.633,463.247,694.847
