"session","task","run","subj","name","stimuli","number","letter","trial.type","cue","number.resp","letter.resp","award","switch","cue.color","target.color","target.color.orig","incentive","iti","acc","rt","resp","cresp","time.cue.onset.abs","time.target.onset.abs","time.rt.abs","time.scan.start","trial.num","time.cue.onset","time.target.onset","time.rt","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off"
"bas","cue",1,"197449","bas_cue_run1_197449","E3","o","v","i","l",2,1,NA,NA,"red","black","green","nonincentive",4400,1,2127,1,1,138517,143023,145150,107386,1,31.131,35.637,37.764,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","D4","e","c","i","n",1,2,NA,"switch","red","black","green","nonincentive",3200,1,1854,1,1,151730,156237,158091,107386,2,44.344,48.851,50.705,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","4D","e","c","i","n",1,2,NA,"stay","red","black","green","nonincentive",4400,1,1027,1,1,163730,168237,169264,107386,3,56.344,60.851,61.878,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","A2","e","v","c","l",1,1,NA,"switch","red","black","black","nonincentive",2000,1,2234,1,1,176917,181423,183657,107386,4,69.531,74.037,76.271,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","2A","e","v","c","n",1,1,NA,"switch","red","black","black","nonincentive",3200,1,640,1,1,187717,192237,192877,107386,5,80.331,84.851,85.491,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","B1","o","c","c","l",2,2,NA,"switch","red","black","black","nonincentive",2000,1,1389,2,2,199730,204237,205626,107386,6,92.344,96.851,98.24,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","6I","e","v","c","n",1,1,NA,"switch","red","black","green","nonincentive",3200,1,939,1,1,210530,215037,215976,107386,7,103.144,107.651,108.59,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","H5","o","c","c","l",2,2,NA,"switch","red","black","black","nonincentive",2000,1,940,2,2,222517,227023,227963,107386,8,115.131,119.637,120.577,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","1A","o","v","i","l",2,1,NA,"stay","red","black","black","nonincentive",4400,1,1803,1,1,233330,237837,239640,107386,9,125.944,130.451,132.254,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","B2","e","c","i","n",1,2,NA,"switch","red","black","black","nonincentive",3200,1,1443,1,1,246530,251037,252480,107386,10,139.144,143.651,145.094,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","A2","e","v","c","n",1,1,NA,"stay","red","black","black","nonincentive",4400,1,1210,1,1,258517,263023,264233,107386,11,151.131,155.637,156.847,28.437,274.437,520.438,246.051,492.091,738.064
"bas","cue",1,"197449","bas_cue_run1_197449","D4","e","c","i","l",1,2,NA,"switch","red","black","green","nonincentive",3200,1,1095,2,2,271730,276237,277332,107386,12,164.344,168.851,169.946,28.437,274.437,520.438,246.051,492.091,738.064
