"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"1" "115825" "Axcpt" "10-07-2017" "10-16-2017" "10-13-2017" "10-07-2017" "10-16-2017" "10-13-2017"
"2" "115825" "Cuedts" "10-07-2017" "10-16-2017" "10-13-2017" "10-07-2017" "10-16-2017" "10-13-2017"
"3" "115825" "Stern" "10-07-2017" "10-16-2017" "10-13-2017" "10-07-2017" "10-16-2017" "10-13-2017"
"4" "115825" "Stroop" "10-07-2017" "10-16-2017" "10-13-2017" "10-07-2017" "10-16-2017" "10-13-2017"
"5" "130114" "Axcpt" "11-02-2017" "11-14-2017" "11-19-2017" "11-02-2017" "11-14-2017" "11-19-2017"
"6" "130114" "Cuedts" "11-02-2017" "11-14-2017" "11-19-2017" "11-02-2017" "11-14-2017" "11-19-2017"
"7" "130114" "Stern" "11-02-2017" "11-14-2017" "11-19-2017" "11-02-2017" "11-14-2017" "11-19-2017"
"8" "130114" "Stroop" "11-02-2017" "11-14-2017" "11-19-2017" "11-02-2017" NA "11-19-2017"
"9" "130518" "Axcpt" "07-15-2017" "07-23-2017" "07-24-2017" "07-15-2017" "07-23-2017" "07-24-2017"
"10" "130518" "Cuedts" "07-15-2017" "07-23-2017" "07-24-2017" "07-15-2017" "07-23-2017" "07-24-2017"
"11" "130518" "Stern" "07-15-2017" "07-23-2017" "07-24-2017" "07-15-2017" "07-23-2017" "07-24-2017"
"12" "130518" "Stroop" "07-15-2017" "07-23-2017" "07-24-2017" "07-15-2017" "07-23-2017" "07-24-2017"
"13" "132017" "Axcpt" "09-19-2021" "09-26-2021" "10-30-2021" "09-19-2021" "09-26-2021" "10-30-2021"
"14" "132017" "Cuedts" "09-19-2021" "09-26-2021" "10-30-2021" "09-19-2021" "09-26-2021" "10-30-2021"
"15" "132017" "Stern" "09-19-2021" "09-26-2021" "10-30-2021" "09-19-2021" "09-26-2021" "10-30-2021"
"16" "132017" "Stroop" "09-19-2021" "09-26-2021" "10-30-2021" "09-19-2021" "09-26-2021" "10-30-2021"
"17" "155938" "Axcpt" "07-13-2017" "08-10-2017" "08-12-2017" "07-13-2017" "08-10-2017" "08-12-2017"
"18" "155938" "Cuedts" "07-13-2017" "08-10-2017" "08-12-2017" "07-13-2017" "08-10-2017" "08-12-2017"
"19" "155938" "Stern" "07-13-2017" "08-10-2017" "08-12-2017" "07-13-2017" "08-10-2017" "08-12-2017"
"20" "155938" "Stroop" "07-13-2017" "08-10-2017" "08-12-2017" "07-13-2017" "08-10-2017" NA
"21" "161832" "Axcpt" "04-26-2019" "05-18-2019" "06-09-2019" "04-26-2019" "05-18-2019" "06-09-2019"
"22" "161832" "Cuedts" "04-26-2019" "05-18-2019" "06-09-2019" "04-26-2019" "05-18-2019" "06-09-2019"
"23" "161832" "Stern" "04-26-2019" "05-18-2019" "06-09-2019" "04-26-2019" "05-18-2019" "06-09-2019"
"24" "161832" "Stroop" "04-26-2019" "05-18-2019" "06-09-2019" "04-26-2019" "05-18-2019" "06-09-2019"
"25" "171330" "Axcpt" "04-21-2018" "05-05-2018" "05-13-2018" "04-21-2018" "05-05-2018" "05-13-2018"
"26" "171330" "Cuedts" "04-21-2018" "05-05-2018" "05-13-2018" "04-21-2018" "05-05-2018" "05-13-2018"
"27" "171330" "Stern" "04-21-2018" "05-05-2018" "05-13-2018" "04-21-2018" "05-05-2018" "05-13-2018"
"28" "171330" "Stroop" "04-21-2018" "05-05-2018" "05-13-2018" "04-21-2018" "05-05-2018" "05-13-2018"
"29" "178243" "Axcpt" "07-03-2017" "07-27-2017" "07-25-2017" "07-03-2017" "07-27-2017" "07-25-2017"
"30" "178243" "Cuedts" "07-03-2017" "07-27-2017" "07-25-2017" "07-03-2017" "07-27-2017" "07-25-2017"
"31" "178243" "Stern" "07-03-2017" "07-27-2017" "07-25-2017" "07-03-2017" "07-27-2017" "07-25-2017"
"32" "178243" "Stroop" "07-03-2017" "07-27-2017" "07-25-2017" "07-03-2017" "07-27-2017" "07-25-2017"
"33" "178647" "Axcpt" "01-26-2018" "02-10-2018" "01-27-2018" "01-26-2018" "02-10-2018" "01-27-2018"
"34" "178647" "Cuedts" "01-26-2018" "02-10-2018" "01-27-2018" "01-26-2018" "02-10-2018" "01-27-2018"
"35" "178647" "Stern" "01-26-2018" "02-10-2018" "01-27-2018" "01-26-2018" "02-10-2018" "01-27-2018"
"36" "178647" "Stroop" "01-26-2018" "02-10-2018" "01-27-2018" "01-26-2018" "02-10-2018" "01-27-2018"
"37" "182436" "Axcpt" "07-01-2018" "07-14-2018" "07-08-2018" "07-01-2018" "07-14-2018" "07-08-2018"
"38" "182436" "Cuedts" "07-01-2018" "07-14-2018" "07-08-2018" "07-01-2018" "07-14-2018" "07-08-2018"
"39" "182436" "Stern" "07-01-2018" "07-14-2018" "07-08-2018" "07-01-2018" "07-14-2018" "07-08-2018"
"40" "182436" "Stroop" "07-01-2018" "07-14-2018" "07-08-2018" "07-01-2018" "07-14-2018" "07-08-2018"
"41" "197449" "Axcpt" "08-09-2019" "09-01-2019" "08-25-2019" "08-09-2019" "09-01-2019" "08-25-2019"
"42" "197449" "Cuedts" "08-09-2019" "09-01-2019" "08-25-2019" "08-09-2019" "09-01-2019" "08-25-2019"
"43" "197449" "Stern" "08-09-2019" "09-01-2019" "08-25-2019" "08-09-2019" "09-01-2019" "08-25-2019"
"44" "197449" "Stroop" "08-09-2019" "09-01-2019" "08-25-2019" "08-09-2019" "09-01-2019" "08-25-2019"
"45" "203418" "Axcpt" "05-10-2019" "06-15-2019" "06-03-2019" "05-10-2019" "06-15-2019" "06-03-2019"
"46" "203418" "Cuedts" "05-10-2019" "06-15-2019" "06-03-2019" "05-10-2019" "06-15-2019" "06-03-2019"
"47" "203418" "Stern" "05-10-2019" "06-15-2019" "06-03-2019" "05-10-2019" "06-15-2019" "06-03-2019"
"48" "203418" "Stroop" "05-10-2019" "06-15-2019" "06-03-2019" "05-10-2019" "06-15-2019" "06-03-2019"
"49" "205119" "Axcpt" "03-27-2022" "04-10-2022" "04-15-2022" "03-27-2022" "04-10-2022" "04-15-2022"
"50" "205119" "Cuedts" "03-27-2022" "04-10-2022" "04-15-2022" "03-27-2022" "04-10-2022" "04-15-2022"
"51" "205119" "Stern" "03-27-2022" "04-10-2022" "04-15-2022" "03-27-2022" "04-10-2022" "04-15-2022"
"52" "205119" "Stroop" "03-27-2022" "04-10-2022" "04-15-2022" "03-27-2022" "04-10-2022" "04-15-2022"
"53" "250427" "Axcpt" NA "05-16-2018" "04-28-2018" "04-19-2018" "05-16-2018" "04-28-2018"
"54" "250427" "Cuedts" "04-19-2018" "05-16-2018" "04-28-2018" "04-19-2018" "05-16-2018" "04-28-2018"
"55" "250427" "Stern" "04-19-2018" "05-16-2018" "04-28-2018" "04-19-2018" "05-16-2018" "04-28-2018"
"56" "250427" "Stroop" "04-19-2018" "05-16-2018" "04-28-2018" "04-19-2018" "05-16-2018" "04-28-2018"
"57" "393550" "Axcpt" "02-10-2018" "02-16-2018" "02-18-2018" "02-10-2018" "02-16-2018" "02-18-2018"
"58" "393550" "Cuedts" "02-10-2018" "02-16-2018" "02-18-2018" NA "02-16-2018" "02-18-2018"
"59" "393550" "Stern" "02-10-2018" "02-16-2018" "02-18-2018" "02-10-2018" "02-16-2018" "02-18-2018"
"60" "393550" "Stroop" "02-10-2018" "02-16-2018" "02-18-2018" "02-10-2018" "02-16-2018" "02-18-2018"
"61" "448347" "Axcpt" "04-28-2019" "05-18-2019" "05-26-2019" "04-28-2019" "05-18-2019" "05-26-2019"
"62" "448347" "Cuedts" "04-28-2019" "05-18-2019" "05-26-2019" "04-28-2019" "05-18-2019" "05-26-2019"
"63" "448347" "Stern" "04-28-2019" "05-18-2019" "05-26-2019" "04-28-2019" "05-18-2019" "05-26-2019"
"64" "448347" "Stroop" "04-28-2019" "05-18-2019" "05-26-2019" "04-28-2019" "05-18-2019" "05-26-2019"
"65" "562345" "Axcpt" "10-19-2017" "10-21-2017" "10-22-2017" "10-19-2017" "10-21-2017" "10-22-2017"
"66" "562345" "Cuedts" "10-19-2017" "10-21-2017" "10-22-2017" "10-19-2017" "10-21-2017" "10-22-2017"
